"PROFID","PROFFNAME","PROFMNAME","PROFLNAME","SPECIALIZATION","OFFICEHOURS","CLASSSCHEDULE","PHONE","EMAIL","DEPID","COLLEGECOD"
"1111898856","Jones","J"," Sandra","Pathology","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","Jones1@yale.edu","22009901","773488311"
"1111898857","Brown","N","Donna","Radiology","MF 10 am - 11 am"," MW 12 am - 2 pm ","6092588856","Donna1@yale.edu","22009901","773488311"
"1111898858","Martin","B","Deborah","Human Genetics","TH 9 am - 10 am"," THF 11 am - 3 pm ","2034320588","Deborah@yale.edu.edu","22009902","773488311"
"1111898859","Williams","M","Johnson","Rehabilitation Medicine","TH 1 am - 2 Pm"," THF 8 am - 11 am ","2034990511","Johnson@yale.edu.edu","22009902","773488311"
"1111898860","Davis","T","Williams","Surgery","MWF 1 am - 2 Pm"," MWF 8 am - 11 am ","2034320545","Williams@yale.edu.edu","22009902","773488311"
"11118988061","Parker","L","Robert","Technological Applications of Nuclear Energy","MWF 11 am - 12 am"," MWF 2 pm - 6 pm ","2034320571","Robinson1@yale.edu","22009801","773488322"
"11118988062","Clark","N","Joseph","Industrial Social Sciences","THF 10 am - 10 am"," THF 6 pm - 8 pm ","2034329571","Wright1@yale.edu","22009801","773488322"
"11118988063","Walker","E","Rodriguez","Systems Engineering","MF 10 am - 9 am"," MW 1 pm - 5 pm ","2034320671","Lopez1@yale.edu","22009801","773488322"
"11118988064","Green","K","Parker","Harbor Engineering","MWF 10 am - 12 am"," MWF 8 am - 9:30 am ","2034320591","Green@yale.edu","22009802","773488322"
"11118988065","Joseph","G","Lewis","Telecommunications Services and Networks","THF 10 am - 10 am"," THF 6 pm - 8 pm ","2034920571","Lewis@yale.edu","22009802","773488322"
"11118988066","Walker","D","Lee","Geodesic-Geophysical Engineering","MF 8 am - 9 am"," MW 11 am - 2 pm ","2034320501","Lee@yale.edu","22009802","773488322"
"1111898867","Jackson","K","Johnson","Management","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6092588877","Johnson@yale.edu","22009701","773488333"
"1111898868","Thomas","S"," Williams","Economics ","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","Williams@yale.edu","22009701","773488333"
"1111898869","Kenneth","P","Brown","Finance","TH 9 am - 10 am"," THF 11 am - 3 pm ","6174951500","Brown@yale.edu","22009702","773488333"
"1111898870","Williams","O","Martin","Accounting","TH 1 am - 2 Pm"," THF 8 am - 11 am ","6174951599","Martin@yale.edu","22009702","773488333"
"1111898871","Mauck","I"," Mellard","Marketing","MF 10 am - 11 am"," MW 12 am - 2 pm ","2034327504","Mellard@yale.edu","22009601","773488344"
"1111898872","Kenneth","U","McWilliams","Intermediate Accounting","MWF 1 am - 2 Pm"," MWF 8 am - 11 am ","2034320904","McWilliams@yale.edu","22009601","773488344"
"1111898873","Thompson","M"," Lannon","UCI Symphony","MF 11 am - 12 am"," MWF 2 am - 3 pm ","6174973522","Lannon@yale.edu","22009602","773488344"
"1111898874","Martinez","Z"," Seigenthaer","Piano","THF 10 am - 10 am"," THF 1 pm - 2 pm ","6174969522","Seigenthaer@yale.edu","22009602","773488344"
"1111898875","Steven","D"," Charles","Programming","MF 11 am - 12 am"," MWF 2 am - 3 pm ","2034340505","Charles@yale.edu","22009501","773488355"
"1111898876","Edward","C"," Brian","Database management system","THF 10 am - 10 am"," THF 1 pm - 2 pm ","2034320205","Edward@yale.edu","22009501","773488355"
"1111898877","Watson","I"," Yick","Viola","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174958522","Yick@yale.edu","22009502","773488355"
"1111898878","Thim","I"," Bourgeois","software Design","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174328522","Bourgeois@yale.edu","22009502","773488355"
"1111898879","Hartman","K","Tillman","Management","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6092588877","Tillman@stanford.edu","33901101","55773311"
"1111898880","Etienne-Gray","S"," Romo","Economics ","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","Romo@stanford.edu","33901101","55773311"
"1111898881","Bishop","P","Hart","Finance","TH 9 am - 10 am"," THF 11 am - 3 pm ","6174951500","Hart@stanford.edu","33001102","55773311"
"1111898882","Atchison","O","Berlage","Accounting","TH 1 am - 2 Pm","THF 8 am - 11 am","6174951599","Berlage@stanford.edu","33001102","55773311"
"1111898883","Zhou","P","Yiyi","Applied Geomorphology","MWF 3 pm - 4 pm","MWF 8 am - 9:30 am","6092583356","Yiyi@stanford.edu","33901201","55773322"
"1111898884","Torna","S","Gokhan","Earth System Science","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6092583399","Gokhan@stanford.edu","33901201","55773322"
"1111898885","Tauman","O","Yair","Methods in Geological Mapping","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6092583550","Tauman@stanford.edu","33001202","55773322"
"1111898886","Buhrau","P","Denise","Volcanology and Igneous Petrology ","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6092580055","Denise@stanford.edu","33001202","55773322"
"1111898887","Pew","M","Ethan","Data Mining and Knowledge Discovery","MF 8 am - 9 am"," MW 11 am - 2 pm ","6507932133","Ethan@stanford.edu","33901301","55773333"
"1111898888","Lewis","F","Herbert","Geodesic-Geophysical Engineering","MF 8 am - 9 am"," MW 11 am - 2 pm ","6507232188","Herbert@stanford.edu","33901301","55773333"
"11118988089","Bear","O","Julia","Law and Economics","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6507932144","Julia@stanford.edu","98765401","55773344"
"11118988090","Chan","P","Richard","Adjunct","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6507292144","Richard@stanford.edu","98765401","55773344"
"11118988091","Cushenbery","T","Lily","Bankruptcy Law and Policy","MF 8 am - 9 am"," MW 11 am - 2 pm ","6507232194","Lily@stanford.edu","33001402","55773344"
"11118988092","Goodfellow","H","Teresa","Real Estate","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6507232164","Teresa@stanford.edu","33001402","55773344"
"1111898893","Laskowski","B"," Richard","UCI Symphony","MF 11 am - 12 am"," MWF 2 am - 3 pm ","6174953522","Richard@stanford.edu","33901501","55773355"
"1111898894","Lekacos","Y"," Aristotle","Piano","THF 10 am - 10 am"," THF 1 pm - 2 pm ","6174959522","Aristotle@stanford.edu","33901501","55773355"
"1111898895","Martinez","I"," Miller","Viola","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174958522","Miller1@stanford.edu","33001502","55773355"
"1111898896","Martinez","I"," Miller","Viola","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174958522","Miller1@stanford.edu","33001502","55773355"
"1111898897","London","G"," Manuel","Programming","MF 11 am - 12 am"," MWF 2 am - 3 pm ","9372293934","Manuel@udayton.edu","44309901","44448811"
"1111898898","Pittinsky","F"," Todd","Database management system","THF 10 am - 10 am"," THF 1 pm - 2 pm ","9372293933","Todd@udayton.edu","44309901","44448811"
"1111898899","Thomas","I"," Helgeson","software Design","MF 10 am - 9 am"," MW 2 pm - 4 pm ","9372293941","Helgeson@udayton.edu","44309902","44448811"
"11118988100","Wolf","I"," Gerrit","software Design","MF 10 am - 9 am"," MW 2 pm - 4 pm ","9372293331","Gerrit@udayton.edu","44309902","44448811"
"111189880101","Kim","K","Aaron","Harbor Engineering","MWF 10 am - 12 am"," MWF 8 am - 9:30 am ","9372293737","Aaron@udayton.edu","44309801","44448822"
"111189880102","Focardi","G","Sergio","Telecommunications Services and Networks","THF 10 am - 10 am"," THF 6 pm - 8 pm ","9372292537","Sergio@udayton.edu","44309801","44448822"
"111189880103","Frey","C","Robert","the Steel Industry","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372292437","Robert@udayton.edu","44309802","44448822"
"111189880104","Brusco","D","Sandro","Geodesic-Geophysical Engineering","MF 8 am - 9 am"," MW 11 am - 2 pm ","9372292727","Sandro@udayton.edu","44309802","44448822"
"11118988105","Xiao","O","Noah","Law and Economics","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293895","Noah@stanford.edu","44309701","44448833"
"11118988106","Chan","P","Yair","Adjunct","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","9372293995","Yair@stanford.edu","44309701","44448833"
"11118988107","Cushenbery","T","Tauman","Bankruptcy Law and Policy","MF 8 am - 9 am"," MW 11 am - 2 pm ","9372294785","Tauman@udayton.edu","44309702","44448833"
"11118988108","Smith","H","Keli","Real Estate","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293799","Keli@udayton.edu","44309702","44448833"
"11118988109","Hartman","S","Gary ","Anesthesiology","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293329","Gary@udayton.edu","44309601","44448844"
"11118988110","Hindson","E","Irene","Emergency Medicine","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","9372293365","Irene@udayton.edu","44309601","44448844"
"11118988111","Lannon","W","Deirdre","Biomedical Informatics","MF 8 am - 9 am"," MW 11 am - 2 pm ","9372293677","Lannon@udayton.edu","44309602","44448844"
"11118988112","Marshall","A","Robert","Dermatology","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293356","Robert@udayton.edu","44309602","44448844"
"11118988113","Hartman","S","Gary ","Adv Financial Acctg","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293399","Gary@udayton.edu","44309501","44448844"
"11118988114","Hindson","E","Irene","Acc Indiv Research","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","9372293377","Irene@udayton.edu","44309501","44448844"
"11118988115","Lannon","W","Deirdre","Informtn Tech&amp;Systems","MF 8 am - 9 am"," MW 11 am - 2 pm ","9372293897","Lannon@udayton.edu","44309502","44448855"
"11118988116","Marshall","A","Robert","Security Mgt Inf Sys","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","9372293964","Robert@udayton.edu","44309502","44448855"
"1111898801","Smith","H"," Anderson","Political History","MF10am-11am","MWF12am-2pm","6092588877","Andersons1@butler.edu","11001101","333445566"
"1111898802","Jones","S"," White","Labor, African American","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","White1@butler.edu","11001101","333445566"
"1111898803","Brown","R"," Harris","Modern U.S. Immigration","MF 10 am - 11 am"," MW 12 am - 2 pm ","6092588856","White1@butler.edu","11001101","333445566"
"1111898804","Johnson","M","Thomas","Business, Labor, Oral History","TH 9 am - 10 am"," THF 11 am - 3 pm ","6092588899","Thomasj1@butler.edu","11001102","333445566"
"1111898805","Williams","A","Jackson","Early American History","TH 1 am - 2 Pm"," THF 8 am - 11 am ","6092588878","Jacksonw1@butler.edu","11001102","333445566"
"1111898806","Davis","H","Martin","Culture and Music History","MWF 1 am - 2 Pm"," MWF 8 am - 11 am ","6092588868","Martin1@butler.edu","11001102","333445566"
"1111898807","Miller","V"," Thompson","UCI Symphony","MF 11 am - 12 am"," MWF 2 am - 3 pm ","6092588778","Thompson1@Mathey.edu","11002201","333445511"
"1111898808","Wilson","Z"," Garcia","Piano","THF 10 am - 10 am"," THF 1 pm - 2 pm ","6092577778","Garcia1@Mathey.edu","11002201","333445511"
"1111898809","Moore","M"," Martinez","Viola","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6092599778","Martinez1@Mathey.edu","11002201","333445511"
"11118988010","Taylor","L","Robinson","Technological Applications of Nuclear Energy","MWF 11 am - 12 am"," MWF 2 pm - 6 pm ","6092583797","Robinson1@Mathey.edu","11002202","333445511"
"11118988011","Clark","N","Wright","Industrial Social Sciences","THF 10 am - 10 am"," THF 6 pm - 8 pm ","6092547778","Wright1@Mathey.edu","11002202","333445511"
"11118988012","Rodriguez","E","Lopez","Systems Engineering","MF 10 am - 9 am"," MW 1 pm - 5 pm ","6092599718","Lopez1@Mathey.edu","11002202","333445511"
"11118988013","Lewis","K","Hill","Harbor Engineering","MWF 10 am - 12 am"," MWF 8 am - 9:30 am ","6092583228","Hill1@Whitman.edu","11003301","333445522"
"11118988014","Lee","G","Scott","Telecommunications Services and Networks","THF 10 am - 10 am"," THF 6 pm - 8 pm ","6092583225","Scott1@Whitman.edu","11003301","333445522"
"11118988015","Walker","D","Green","Geodesic phy Engineering","MF 8am 9am"," MW 11am 2pm ","6092583267","Green1@Whitman.edu","11003301","333445522"
"11118988016","Hall","C","Adams","the Steel Industry","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6092583229","Hill1@Whitman.edu","11003302","333445522"
"11118988017","Allen","G","King","Oil","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6092333229","Scott1@Whitman.edu","11003302","333445522"
"11118988018","Gonzalez","F","Young","Gas","MF 8 am - 9 am"," MW 11 am - 2 pm ","6092584529","Green1@Whitman.edu","11003302","333445522"
"1111898819","Hernandez","C","Nelson","Public Health","MWF 3 pm - 4 pm","MWF 8 am - 9:30 am","6092529333","Nelson@Wilson.edu","11004401","333445533"
"1111898820","King","G","Allen","Processes of Regional Integration","THF 2 pm - 3 pm","THF 8:30 am - 12:30 pm","6092584388","Allen1@Wilson.edu","11004401","333445533"
"1111898821","Young","F","Gonzalez","Sanitary and Environmental Sciences ","MF 8 am - 9 am"," MW 11 am - 2 pm","6093438333","Gonzalez1@Wilson.edu","11004401","333445533"
"1111898822","James","J","John","Digital Media","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6092583356","John1@Wilson.edu","11004402","333445544"
"1111898823","Christopher","S","Daniel","Film &amp; Film Theory","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6092583399","Daniel1@Wilson.edu","11004402","333445544"
"1111898824","Robert","M","Paul","Poetry &amp; Poetics","MF 8 am - 9 am"," MW 11 am - 2 pm ","6092583323","Paul1@Wilson.edu","11004402","333445544"
"11118988025","Michael","O","Mark","Law and Economics","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6092583550","Mark1@Forbes.edu","11006601","333445555"
"11118988026","William","P","Donald","Adjunct","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6092580055","William2@Forbes.edu","11006601","333445555"
"11118988027","David","T","Barbara","Bankruptcy Law and Policy","MF 8 am - 9 am"," MW 11 am - 2 pm ","6092583095","Barbara1@Forbes.edu","11006601","333445555"
"1111898828","Anderson","K","Smith","Management","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6092588877","Smith1@hbs.edu","98765101","999778811"
"1111898829","Richard","S"," Harris","Economics ","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","Richard1@hbs.edu","98765101","999778811"
"1111898830","Brown","R"," Kenneth","Marketing","MF 10 am - 11 am"," MW 12 am - 2 pm ","6092588856","Kenneth1@hbs.edu","98765101","999778811"
"1111898831","Johnson","M","Thomas","Finance","TH 9 am - 10 am"," THF 11 am - 3 pm ","6174951500","Thomasj1@hbs.edu","98765102","999778811"
"1111898832","Williams","A","Jackson","Accounting","TH 1 am - 2 Pm"," THF 8 am - 11 am ","6174951599","Jacksonw1@hbs.edu","98765102","999778811"
"1111898833","Davis","H","Martin","Intermediate Accounting","MWF 1 am - 2 Pm"," MWF 8 am - 11 am ","6174951576","Martin1@hbs.edu","98765102","999778811"
"1111898834","Thompson","B"," Wilson","UCI Symphony","MF 11 am - 12 am"," MWF 2 am - 3 pm ","6174953522","Wilson1@gas.edu","98765201","999778822"
"1111898835","Martinez","Y"," Moore","Piano","THF 10 am - 10 am"," THF 1 pm - 2 pm ","6174959522","Moore1@gas.edu","98765201","999778822"
"1111898836","Martinez","I"," Miller","Viola","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174958522","Miller1@gas.edu","98765201","999778822"
"1111898837","Charles","G"," Steven","Programming","MF 11 am - 12 am"," MWF 2 am - 3 pm ","6174923572","Steven@gas.edu","98765202","999778822"
"1111898838","Joseph","F"," Edward","Database mgmt sys","THF 10 am  10 am"," THF 1 pm  2 pm ","6175495952","Edward@gas.edu","98765202","999778822"
"1111898839","Thomas","I"," Brian","software Design","MF 10 am - 9 am"," MW 2 pm - 4 pm ","6174328522","Brian@gas.edu","98765202","999778822"
"11118988040","Hall","S","Ronald","Anesthesiology","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","617495453","Ronald1@hmedical.edu","98765301","999778833"
"11118988041","Allen","E","Anthony","Emergency Medicine","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6174951123","Anthony1@hmedical.edu","98765301","999778833"
"11118988042","Gonzalez","W","Kevin","Biomedical Informatics","MF 8 am - 9 am"," MW 11 am - 2 pm ","6174951324","Kevin1@hmedical.edu","98765301","999778833"
"11118988043","Suzy","A","Jason","Dermatology","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","617497453","Hall@hmedical.edu","98765302","999778833"
"11118988044","Kenneth","N","Jeff","Human Genetics","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6174950123","Jeff@hmedical.edu","98765302","999778833"
"11118988045","GonzY","Q","Mary","Neurology","MF 8 am - 9 am"," MW 11 am - 2 pm ","6174871324","Mary@hmedical.edu","98765302","999778833"
"11118988046","Mark","O","William","Law and Economics","MWF 3 pm - 4 pm"," MWF 8 am - 9:30 am ","6174881544","Mark1@hlaw.edu","98765401","999778844"
"11118988047","William","P","Patricia","Adjunct","THF 2 pm - 3 pm"," THF 8:30 am - 12:30 pm ","6174451544","William2@hlaw.edu","98765401","999778844"
"11118988048","David","T","Linda","Bankruptcy Law and Policy","MF 8 am - 9 am"," MW 11 am - 2 pm ","6178951544","Linda@hlaw.edu","98765401","999778844"
"1111898849","Smith","H"," Susan"," Middle East, Arabic History","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6092588877","Susan@hdce.edu","98765501","999778855"
"1111898850","Baker","S"," Jones","Womens history","THF 10 am - 11 am"," THF 12 am - 2 pm ","6092588866","Jones@hdce.edu","98765501","999778855"
"1111898851","White","R"," Brown","History Education","MF 10 am - 11 am"," MW 12 am - 2 pm ","6092588856","Brown@hdce.edu","98765501","999778855"
"1111898852","Elizabeth","Y"," Lisa"," U.S. Religious","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6174951852","Lisa@hdce.edu","98765502","999778855"
"1111898853","Jennifer","L"," Betty","Local and Community","THF 10 am - 11 am"," THF 12 am - 2 pm ","6174951853","Betty@hdce.edu","98765502","999778855"
"1111898854","Maria","M"," Brown","Economic and Cultural","MF 10 am - 11 am"," MW 12 am - 2 pm ","6174951851","Karen@hdce.edu","98765502","999778855"
"1111898855","Helen","L","Betty","Hematology and Medical Oncology","MF 10 am - 11 am"," MWF 12 am - 2 pm ","6092588877","Betty1@yale.edu","22009901","773488311"
